"Status","Source","Output","SourceBytes","OutputBytes","SavingPercent","Message"
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_mykonos_mykonos_art_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_mykonos_mykonos_art_festival.jpg","3280981","358833","89.1",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_pella_pozar_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_pella_pozar_festival.jpg","3083736","319212","89.6",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_phocis_galaxidi_flour_war.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_phocis_galaxidi_flour_war.jpg","3585134","436943","87.8",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_pieria_olympus_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_pieria_olympus_festival.jpg","3208085","353744","89",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_santorini_ifestia_volcano_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_santorini_ifestia_volcano_festival.jpg","2760162","251158","90.9",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_sifnos_cycladic_gastronomy_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_sifnos_cycladic_gastronomy_festival.jpg","3529403","407956","88.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_skyros_skyros_carnival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_skyros_skyros_carnival.jpg","3724372","460574","87.6",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_spetses_armata_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_spetses_armata_festival.jpg","3192832","356197","88.8",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_syros_animasyros_international_animation_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_syros_animasyros_international_animation_festival.jpg","3551259","438885","87.6",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_thessaloniki_thessaloniki_international_book_fair.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_thessaloniki_thessaloniki_international_book_fair.jpg","3249742","376686","88.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_thessaloniki_thessaloniki_international_film_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_thessaloniki_thessaloniki_international_film_festival.jpg","3337745","348806","89.5",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_tinos_dormition_pilgrimage.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_tinos_dormition_pilgrimage.jpg","3394782","401535","88.2",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_trikala_mill_of_the_elves.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_trikala_mill_of_the_elves.jpg","3640030","445292","87.8",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_xanthi_xanthi_carnival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_xanthi_xanthi_carnival.jpg","3775977","489308","87",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_zakynthos_venetian_wedding_carnival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_zakynthos_venetian_wedding_carnival.jpg","3298036","383697","88.4",""
